R-DRE-6807004	Negative regulation of MET activity	6	12	1	1	1	1	1	1	1	1	1	10	11	4870	0.9997	0.026681	0.026681	8.33	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966		0.0	0.0135395			0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-6811440	Retrograde transport at the Trans-Golgi-Network	11	22	1	0	0	0	0	0	1	0	0	11	22	4859	0.95158	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418346	Platelet homeostasis	30	43	1	0	0	0	0	0	1	0	0	11	43	4838	0.90736	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1442490	Collagen degradation	10	16	2	2	2	1	1	1	2	1	1	10	15	4866	0.99946	0.03543	0.03543	6.25	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999		0.0	0.412555			0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-9013407	RHOH GTPase cycle	16	20	1	0	0	0	0	0	1	0	0	11	20	4861	0.95589	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	6	12	1	1	0	1	1	0	1	0	0	11	12	4869	0.97332	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69239	Synthesis of DNA	40	81	1	1	0	1	1	0	1	0	0	11	81	4800	0.83206	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69306	DNA Replication	42	87	1	1	0	1	1	0	1	0	0	11	87	4794	0.82071	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022090	Assembly of collagen fibrils and other multimeric structures	10	18	2	2	2	1	1	1	2	1	1	10	17	4864	0.99931	0.039778	0.039778	5.56	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999		0.0	0.412555			0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-2243919	Crosslinking of collagen fibrils	3	7	1	1	1	0	0	0	1	0	0	11	7	4874	0.98436	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1187000	Fertilization	5	15	1	1	0	0	0	0	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1474165	Reproduction	5	15	1	1	0	0	0	0	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166208	mTORC1-mediated signalling	10	16	1	0	0	0	0	0	1	0	0	11	16	4865	0.96457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-432722	Golgi Associated Vesicle Biogenesis	23	27	1	1	1	1	1	1	1	1	1	10	26	4855	0.99844	0.059122	0.059122	3.7	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	28	38	1	0	0	0	0	0	1	0	0	11	38	4843	0.91772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3000157	Laminin interactions	6	7	1	1	1	0	0	0	1	0	0	11	7	4874	0.98436	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-75109	Triglyceride biosynthesis	4	6	1	1	0	0	0	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8979227	Triglyceride metabolism	9	13	1	1	0	0	0	0	1	0	0	11	13	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2672351	Stimuli-sensing channels	19	33	1	0	0	1	1	1	1	0	0	11	33	4848	0.92818	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5685942	HDR through Homologous Recombination (HRR)	15	37	1	1	0	1	1	0	1	0	0	11	37	4844	0.9198	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013420	RHOU GTPase cycle	18	25	1	1	1	1	1	1	1	1	1	10	24	4857	0.99866	0.054854	0.054854	4.0	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-5358508	Mismatch Repair	3	7	1	1	0	1	1	0	1	0	0	11	7	4874	0.98436	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	2	6	1	1	0	1	1	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4608870	Asymmetric localization of PCP proteins	29	43	1	1	1	1	1	1	1	1	1	10	42	4839	0.99605	0.09264	0.09264	2.33	30369	fzd7a	ENSDARG00000060004		0.560285	0.560285	0.560285		0.560285		0.291463	0.291463	0.291463		0.291463		1.07705	1.07705	1.07705		1.07705						0.560285	0.291463	1.07705	1	0	1	30369	ENSDARG00000060004	0.560285	0.560285		0.291463	0.291463		1.07705	1.07705		0.560285	0.291463	1.07705	0															0						Linear,1(1)	2.310438394546509	2.310438394546509	2.310438394546509	2.310438394546509	0.0	2.310438394546509	0.560285	0.560285	0.291463	0.291463	1.07705	1.07705	UP	1.0	0.0	0.0	
R-DRE-73863	RNA Polymerase I Transcription Termination	8	22	1	1	1	1	1	1	1	1	1	10	21	4860	0.99896	0.048419	0.048419	4.55	561082	cavin1b	ENSDARG00000059362		0.522871	0.522871	0.522871		0.522871		0.281995	0.281995	0.281995		0.281995		0.969497	0.969497	0.969497		0.9694970000000002						0.522871	0.281995	0.969497	1	0	1	561082	ENSDARG00000059362	0.522871	0.522871		0.281995	0.281995		0.969497	0.969497		0.522871	0.281995	0.969497	0															0						Linear,1(1)	2.0276551246643066	2.0276551246643066	2.0276551246643066	2.0276551246643066	0.0	2.0276551246643066	0.522871	0.522871	0.281995	0.281995	0.969497	0.969497	UP	1.0	0.0	0.0	
R-DRE-74158	RNA Polymerase III Transcription	4	19	1	1	0	1	1	1	1	0	0	11	19	4862	0.95806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76046	RNA Polymerase III Transcription Initiation	4	19	1	1	0	1	1	1	1	0	0	11	19	4862	0.95806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	4	15	1	1	0	1	1	1	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	4	15	1	1	0	1	1	1	1	0	0	11	15	4866	0.96675	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110314	Recognition of DNA damage by PCNA-containing replication complex	9	16	1	1	0	1	1	0	1	0	0	11	16	4865	0.96457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5651801	PCNA-Dependent Long Patch Base Excision Repair	4	9	1	1	0	1	1	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	7	12	1	1	0	1	1	0	1	0	0	11	12	4869	0.97332	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	14	23	1	1	1	1	1	1	1	1	1	10	22	4859	0.99887	0.050569	0.050569	4.35	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-1482883	Acyl chain remodeling of DAG and TAG	3	4	1	1	0	0	0	0	1	0	0	11	4	4877	0.99103	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9634600	Regulation of glycolysis by fructose 2,6-bisphosphate metabolism	3	4	1	0	0	1	1	1	1	0	0	11	4	4877	0.99103	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110312	Translesion synthesis by REV1	7	9	1	1	0	1	1	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110320	Translesion Synthesis by POLH	10	12	2	2	1	2	2	1	2	1	1	10	11	4870	0.9997	0.026681	0.026681	8.33	101886162	sprtn	ENSDARG00000104709		0.484364	0.484364	0.484364		0.484364		0.271058	0.271058	0.271058		0.271058		0.865529	0.865529	0.865529		0.865529		0.0	0.484364			0.484364	0.271058	0.865529	1	0	1	101886162	ENSDARG00000104709	0.484364	0.484364		0.271058	0.271058		0.865529	0.865529		0.484364	0.271058	0.865529	0															0						Linear,1(1)	2.6050593852996826	2.6050593852996826	2.6050593852996826	2.6050593852996826	0.0	2.6050593852996826	0.484364	0.484364	0.271058	0.271058	0.865529	0.865529	UP	1.0	0.0	0.0	
R-DRE-5655862	Translesion synthesis by POLK	7	10	1	1	0	1	1	0	1	0	0	11	10	4871	0.97772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5656121	Translesion synthesis by POLI	7	9	1	1	0	1	1	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2187335	The retinoid cycle in cones (daylight vision)	5	6	1	1	0	0	0	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-419771	Opsins	4	8	1	1	0	1	1	1	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174414	Processive synthesis on the C-strand of the telomere	4	10	1	1	0	1	1	0	1	0	0	11	10	4871	0.97772	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174437	Removal of the Flap Intermediate from the C-strand	3	9	1	1	0	1	1	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2028269	Signaling by Hippo	12	13	1	1	0	1	1	1	1	0	0	11	13	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8948216	Collagen chain trimerization	10	16	1	1	1	1	1	1	1	1	1	10	15	4866	0.99946	0.03543	0.03543	6.25	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999		0.0	0.412555			0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-1222556	ROS and RNS production in phagocytes	11	18	1	1	0	0	0	0	1	0	0	11	18	4863	0.96022	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4615885	SUMOylation of DNA replication proteins	18	29	1	1	0	1	1	0	1	0	0	11	29	4852	0.93663	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71403	Citric acid cycle (TCA cycle)	13	16	1	0	0	0	0	0	1	0	0	11	16	4865	0.96457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69091	Polymerase switching	3	6	1	1	0	1	1	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69109	Leading Strand Synthesis	3	6	1	1	0	1	1	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69186	Lagging Strand Synthesis	4	9	1	1	0	1	1	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69190	DNA strand elongation	4	11	1	1	0	1	1	0	1	0	0	11	11	4870	0.97552	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1300642	Sperm Motility And Taxes	2	2	1	1	0	0	0	0	1	0	0	11	2	4879	0.99551	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69166	Removal of the Flap Intermediate	3	8	1	1	0	1	1	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69183	Processive synthesis on the lagging strand	3	8	1	1	0	1	1	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-156581	Methylation	6	8	1	0	0	0	0	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418359	Reduction of cytosolic Ca++ levels	6	6	1	0	0	0	0	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418360	Platelet calcium homeostasis	7	8	1	0	0	0	0	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8964011	HDL clearance	2	2	1	1	1	0	0	0	1	0	0	11	2	4879	0.99551	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196791	Vitamin D (calciferol) metabolism	4	6	1	1	1	0	0	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-375165	NCAM signaling for neurite out-growth	13	17	1	1	1	0	0	0	1	0	0	11	17	4864	0.96239	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-419037	NCAM1 interactions	5	6	1	1	1	0	0	0	1	0	0	11	6	4875	0.98658	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2995383	Initiation of Nuclear Envelope (NE) Reformation	7	10	1	1	1	1	1	1	1	1	1	10	9	4872	0.9998	0.02228	0.02228	10.0	559297	ankle2	ENSDARG00000035607		0.467483	0.467483	0.467483		0.467483		0.26556	0.26556	0.26556		0.26556		0.82294	0.82294	0.82294		0.82294		0.0	0.467483	0.0	0.467483	0.467483	0.26556	0.82294	1	0	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	0															0						Linear,1(1)	1.9808968305587769	1.9808968305587769	1.9808968305587769	1.9808968305587769	0.0	1.9808968305587769	0.467483	0.467483	0.26556	0.26556	0.82294	0.82294	UP	1.0	0.0	0.0	
R-DRE-888568	GABA synthesis	1	1	1	0	0	0	0	0	1	0	0	11	1	4880	0.99775	1.0	1.0	0.0																														0	0	0															0															0																							
