R-DRE-174084	Autodegradation of Cdh1 by Cdh1:APC/C	33	49	4	3	3	2	2	1	4	1	1	12	48	4831	0.99285	0.12281	0.12281	2.04	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	34	54	4	3	3	2	2	1	4	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	34	55	4	3	3	2	2	1	4	1	1	12	54	4825	0.99106	0.13685	0.13685	1.82	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69017	CDK-mediated phosphorylation and removal of Cdc6	35	54	4	3	3	2	2	1	4	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69052	Switching of origins to a post-replicative state	42	67	4	3	3	2	2	1	4	1	1	12	66	4813	0.98692	0.16431	0.16431	1.49	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69239	Synthesis of DNA	52	81	5	4	4	3	3	2	5	2	2	11	79	4800	0.99889	0.018766	0.018766	2.47	321947;30678	psmc3;pcna	ENSDARG00000007141;ENSDARG00000054155		270.5372	270.5372	10.5824	367.6316037639855	164.8634146178986	335.8855433806509	144.32706499999998	144.32706499999998	3.01113	199.85091185643472	86.8809636536852	182.59320318693767	511.2049	511.2049	37.1908	670.3571689760765	318.5142311933846	612.4698737957145					530.492;10.5824	285.643;3.01113	985.219;37.1908	2	0	2	321947;30678	ENSDARG00000007141;ENSDARG00000054155	270.5372	270.5372	367.6316037639855	144.32706499999998	144.32706499999998	199.85091185643472	511.2049	511.2049	670.3571689760765	530.492;10.5824	285.643;3.01113	985.219;37.1908	0															0						Exp 5,1(0.5);Linear,1(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	Infinity	-238.97420799999998	780.048608	-132.6521676	421.3062976	-417.86273599999987	1440.272536	UP	1.0	0.0	0.0	
R-DRE-69306	DNA Replication	52	87	5	4	4	3	3	2	5	2	2	11	85	4794	0.99863	0.021474	0.021474	2.3	321947;30678	psmc3;pcna	ENSDARG00000007141;ENSDARG00000054155		270.5372	270.5372	10.5824	367.6316037639855	164.8634146178986	335.8855433806509	144.32706499999998	144.32706499999998	3.01113	199.85091185643472	86.8809636536852	182.59320318693767	511.2049	511.2049	37.1908	670.3571689760765	318.5142311933846	612.4698737957145					530.492;10.5824	285.643;3.01113	985.219;37.1908	2	0	2	321947;30678	ENSDARG00000007141;ENSDARG00000054155	270.5372	270.5372	367.6316037639855	144.32706499999998	144.32706499999998	199.85091185643472	511.2049	511.2049	670.3571689760765	530.492;10.5824	285.643;3.01113	985.219;37.1908	0															0						Exp 5,1(0.5);Linear,1(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	Infinity	-238.97420799999998	780.048608	-132.6521676	421.3062976	-417.86273599999987	1440.272536	UP	1.0	0.0	0.0	
R-DRE-2022090	Assembly of collagen fibrils and other multimeric structures	10	18	1	1	1	0	0	0	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	29	38	1	1	1	0	0	0	1	0	0	13	38	4841	0.90348	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-201451	Signaling by BMP	10	17	1	1	0	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418885	DCC mediated attractive signaling	7	10	1	1	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8979227	Triglyceride metabolism	10	13	1	1	1	1	1	1	1	1	1	12	12	4867	0.9995	0.034042	0.034042	7.69	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113		0.0	445.962			445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-5223345	Miscellaneous transport and binding events	7	14	1	1	1	1	1	1	1	1	1	12	13	4866	0.99942	0.036616	0.036616	7.14	324944	magt1	ENSDARG00000058062		562.118	562.118	562.118		562.118		282.733	282.733	282.733		282.733		1117.58	1117.58	1117.58		1117.58		0.0	562.118			562.118	282.733	1117.58	1	0	1	324944	ENSDARG00000058062	562.118	562.118		282.733	282.733		1117.58	1117.58		562.118	282.733	1117.58	0															0						Linear,1(1)	11.151340484619142	11.15134048461914	11.15134048461914	11.15134048461914	0.0	11.15134048461914	562.118	562.118	282.733	282.733	1117.58	1117.58	UP	1.0	0.0	0.0	
R-DRE-1168372	Downstream signaling events of B Cell Receptor (BCR)	31	46	4	3	3	2	2	1	4	1	1	12	45	4834	0.99368	0.11571	0.11571	2.17	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-68827	CDT1 association with the CDC6:ORC:origin complex	28	42	4	3	3	2	2	1	4	1	1	12	41	4838	0.99471	0.10616	0.10616	2.38	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-68867	Assembly of the pre-replicative complex	31	47	4	3	3	2	2	1	4	1	1	12	46	4833	0.99341	0.11808	0.11808	2.13	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-68949	Orc1 removal from chromatin	35	51	4	3	3	2	2	1	4	1	1	12	50	4829	0.99228	0.12751	0.12751	1.96	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69002	DNA Replication Pre-Initiation	37	60	4	3	3	2	2	1	4	1	1	12	59	4820	0.98942	0.14839	0.14839	1.67	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-2672351	Stimuli-sensing channels	7	33	1	1	1	0	0	0	1	0	0	13	33	4846	0.91567	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5685942	HDR through Homologous Recombination (HRR)	10	37	1	1	1	1	1	1	1	1	1	12	36	4843	0.99588	0.094094	0.094094	2.7	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5358508	Mismatch Repair	4	7	1	1	1	1	1	1	1	1	1	12	6	4873	0.99986	0.018465	0.018465	14.29	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	4	6	1	1	1	1	1	1	1	1	1	12	5	4874	0.9999	0.015847	0.015847	16.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-4608870	Asymmetric localization of PCP proteins	31	43	4	3	3	2	2	1	4	1	1	12	42	4837	0.99446	0.10856	0.10856	2.33	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1169091	Activation of NF-kappaB in B cells	25	38	4	3	3	2	2	1	4	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1234174	Cellular response to hypoxia	35	50	4	3	3	2	2	1	4	1	1	12	49	4830	0.99257	0.12516	0.12516	2.0	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	34	48	4	3	3	2	2	1	4	1	1	12	47	4832	0.99314	0.12045	0.12045	2.08	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-349425	Autodegradation of the E3 ubiquitin ligase COP1	28	38	4	3	3	2	2	1	4	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-4641257	Degradation of AXIN	29	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5358346	Hedgehog ligand biogenesis	31	45	4	3	3	2	2	1	4	1	1	12	44	4835	0.99395	0.11333	0.11333	2.22	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5610780	Degradation of GLI1 by the proteasome	30	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5610785	GLI3 is processed to GLI3R by the proteasome	34	44	4	3	3	2	2	1	4	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5610787	Hedgehog 'off' state	39	61	4	3	3	2	2	1	4	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69541	Stabilization of p53	29	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	27	38	4	3	3	2	2	1	4	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69610	p53-Independent DNA Damage Response	27	38	4	3	3	2	2	1	4	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69613	p53-Independent G1/S DNA damage checkpoint	27	38	4	3	3	2	2	1	4	1	1	12	37	4842	0.99566	0.096519	0.096519	2.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-75815	Ubiquitin-dependent degradation of Cyclin D	28	37	4	3	3	2	2	1	4	1	1	12	36	4843	0.99588	0.094094	0.094094	2.7	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	30	40	4	3	3	2	2	1	4	1	1	12	39	4840	0.9952	0.10135	0.10135	2.5	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8941858	Regulation of RUNX3 expression and activity	27	37	4	3	3	2	2	1	4	1	1	12	36	4843	0.99588	0.094094	0.094094	2.7	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5626467	RHO GTPases activate IQGAPs	7	7	1	1	0	1	1	1	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-74158	RNA Polymerase III Transcription	9	19	1	1	1	0	0	0	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76046	RNA Polymerase III Transcription Initiation	9	19	1	1	1	0	0	0	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	8	15	1	1	1	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	8	15	1	1	1	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	7	15	1	1	1	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110314	Recognition of DNA damage by PCNA-containing replication complex	11	16	1	1	1	1	1	1	1	1	1	12	15	4864	0.99923	0.041744	0.041744	6.25	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5651801	PCNA-Dependent Long Patch Base Excision Repair	7	9	1	1	1	1	1	1	1	1	1	12	8	4871	0.99977	0.023683	0.023683	11.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	9	12	1	1	1	1	1	1	1	1	1	12	11	4868	0.99958	0.031462	0.031462	8.33	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-2161522	Abacavir transport and metabolism	3	7	1	1	1	0	0	0	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2161541	Abacavir metabolism	3	6	1	1	1	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-74259	Purine catabolism	4	12	1	1	1	0	0	0	1	0	0	13	12	4867	0.96854	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1592230	Mitochondrial biogenesis	18	22	2	1	1	2	2	1	2	0	0	13	22	4857	0.94302	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2151201	Transcriptional activation of mitochondrial biogenesis	4	8	1	0	0	1	1	1	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3299685	Detoxification of Reactive Oxygen Species	11	18	1	1	1	0	0	0	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5620920	Cargo trafficking to the periciliary membrane	9	21	1	0	0	0	0	0	1	0	0	13	21	4858	0.94554	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2514853	Condensation of Prometaphase Chromosomes	4	7	1	0	0	0	0	0	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	16	23	1	1	0	1	1	1	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2514856	The phototransduction cascade	12	20	1	1	1	0	0	0	1	0	0	13	20	4859	0.94807	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2514859	Inactivation, recovery and regulation of the phototransduction cascade	11	19	1	1	1	0	0	0	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4570464	SUMOylation of RNA binding proteins	17	26	3	2	2	1	1	0	3	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4655427	SUMOylation of DNA methylation proteins	4	4	1	0	0	0	0	0	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	14	26	1	0	0	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-390466	Chaperonin-mediated protein folding	16	26	1	0	0	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
