1010	Formation of apoptosome	3	3	2	2	1	2	1	2	2	1	1	893	2	8091	0.97231	0.26976	0.26976	33.33	12371	casp9	Casp9_66180		12.4152	12.4152	12.4152		12.4152		8.37528	8.37528	8.37528		8.37528		23.3661	23.3661	23.3661		23.366100000000003		0.0	12.4152	0.0	12.4152	12.4152	8.37528	23.3661	0	1	0															1	12371	Casp9_66180	12.4152	12.4152		8.37528	8.37528		23.3661	23.3661		12.4152	8.37528	23.3661	0						Linear,1(1)	1.6927745342254639	1.6927745342254639	1.6927745342254639	1.6927745342254639	0.0	1.6927745342254639	12.4152	12.4152	8.37528	8.37528	23.3661	23.3661	DOWN	0.0	1.0	0.0	
1011	Apoptosis regulation	64	74	37	34	12	35	32	29	35	11	11	883	63	8030	0.93971	0.11378	0.16866	14.86	94275;57296;19182;19177;19175;26443;19166;26440;13144;12371;12367	maged1;psmd8;psmc3;psmb7;psmb6;psma6;psma2;psma1;dapk3;casp9;casp3	Maged1_73803;Psmd8_31614;Psmc3_54556;Psmb7_67113;Psmb6_69968;Psma6_55725;Psma2_31299;Psma1_73656;Dapk3_76304;Casp9_66180;Casp3_74474	57296(0.4123);13144(-0.305);12367(-0.0181)	16.10267909090909	12.7692	2.35554	8.718241209416565	14.911965977966279	8.086253984201829	9.639925909090909	8.37528	0.945435	5.387084164437575	9.193867144943859	5.0612151634180815	27.82212727272727	24.4023	10.6942	11.582209612858072	26.481020038013448	11.587533888791056	2.5	12.2996	6.5	18.12725	12.8959;30.7661;12.4816;23.3586;24.0615;12.184;2.35554;7.55913;26.2827;12.4152;12.7692	3.72237;17.4311;8.17601;16.2043;15.0914;8.07065;0.945435;5.32635;14.1262;8.37528;8.57009	22.1745;39.4091;24.9135;38.295;43.3268;23.7035;10.6942;12.4698;43.2886;23.3661;24.4023	4	7	4	94275;19177;19175;13144	Maged1_73803;Psmb7_67113;Psmb6_69968;Dapk3_76304	21.649675000000002	23.71005	5.967434453976006	12.286067500000001	14.6088	5.771927432226744	36.771225	40.7918	10.013957117402015	12.8959;23.3586;24.0615;26.2827	3.72237;16.2043;15.0914;14.1262	22.1745;38.295;43.3268;43.2886	7	57296;19182;26443;19166;26440;12371;12367	Psmd8_31614;Psmc3_54556;Psma6_55725;Psma2_31299;Psma1_73656;Casp9_66180;Casp3_74474	12.93296714285714	12.4152	8.7544303514558	8.127844999999999	8.17601	4.937076346257471	22.708357142857142	23.7035	9.462539023232114	30.7661;12.4816;12.184;2.35554;7.55913;12.4152;12.7692	17.4311;8.17601;8.07065;0.945435;5.32635;8.37528;8.57009	39.4091;24.9135;23.7035;10.6942;12.4698;23.3661;24.4023	0						Exp 2,3(0.28);Exp 4,1(0.1);Hill,3(0.28);Linear,2(0.19);Poly 2,1(0.1);Power,1(0.1)	1.9144330497841284	21.539241790771484	1.533194661140442	2.945844888687134	0.45692777234477705	1.7894563674926758	10.95052777727636	21.254830404541824	6.4563626091355335	12.823489209046288	20.977478789360774	34.66677575609377	DOWN	0.36363636363636365	0.6363636363636364	0.0	
1012	Apoptosis intrinsic pathway	27	27	16	14	9	14	12	12	16	6	6	888	21	8072	0.98586	0.04579	0.04579	22.22	170770;54401;12371;12370;12369;12367	bbc3;ywhab;casp9;casp8;casp7;casp3	Bbc3_31767;Ywhab_60393;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	12370(-0.3147);12367(-0.0181)	11.463021666666668	11.4054	3.1964	5.853518277208729	11.506045683587322	4.788349335823745	7.632885000000001	7.69966	2.00434	3.842314541990282	7.697951880824471	3.129112232021852	18.518223333333335	20.601750000000003	6.18304	6.789241452361722	19.481807530972485	5.856663451506871	0.5	6.053215000000001	1.5	9.652815	21.0917;3.1964;12.4152;10.3956;8.91003;12.7692	13.7815;2.00434;8.37528;7.02404;6.04206;8.57009	22.1722;6.18304;23.3661;19.0313;15.9544;24.4023	1	5	1	170770	Bbc3_31767	21.0917	21.0917		13.7815	13.7815		22.1722	22.1722		21.0917	13.7815	22.1722	5	54401;12371;12370;12369;12367	Ywhab_60393;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	9.537286	10.3956	3.8750692049278292	6.403162	7.02404	2.66694326411718	17.787428	19.0313	7.322006946795392	3.1964;12.4152;10.3956;8.91003;12.7692	2.00434;8.37528;7.02404;6.04206;8.57009	6.18304;23.3661;19.0313;15.9544;24.4023	0						Exp 2,2(0.34);Exp 4,1(0.17);Hill,1(0.17);Linear,2(0.34)	2.379461807729984	14.752713203430176	1.6927745342254639	3.6354176998138428	0.7101154738743143	2.2582406997680664	6.779231560122562	16.14681177321077	4.558393047343731	10.707376952656269	13.085698749046125	23.950747917620546	DOWN	0.16666666666666666	0.8333333333333334	0.0	
1014	Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family	20	23	5	5	1	5	5	5	5	1	1	893	22	8071	0.31766	0.91046	0.72239	4.35	66813	bcl2l14	Bcl2l14_68965		40.2897	40.2897	40.2897		40.2897		24.1653	24.1653	24.1653		24.1653		41.2374	41.2374	41.2374		41.2374						40.2897	24.1653	41.2374	1	0	1	66813	Bcl2l14_68965	40.2897	40.2897		24.1653	24.1653		41.2374	41.2374		40.2897	24.1653	41.2374	0															0						Power,1(1)	5.110024452209472	5.110024452209473	5.110024452209473	5.110024452209473	0.0	5.110024452209473	40.2897	40.2897	24.1653	24.1653	41.2374	41.2374	UP	1.0	0.0	0.0	
1015	Mitochondrial pathway of apoptosis: multidomain Bcl-2 family	47	64	19	19	10	15	19	15	18	8	8	886	56	8037	0.81805	0.30237	0.52587	12.5	22334;19122;18759;26408;16439;12955;18750;26926	vdac2;prnp;prkci;map3k5;itpr2;cryab;prkca;aifm1	Vdac2_31003;Prnp_82119;Prkci_80322;Map3k5_65275;Itpr2_69649;Cryab_30937,Cryab_78228;Prkca_56923;Aifm1_75407	19122(0.3629);18759(0.0818);26408(0.2672);16439(-0.09289)	14.749641874999998	12.2136	2.8669	9.951158971393356	17.760899600698252	11.228677953963729	8.072865	8.258395	1.54729	4.796139292696038	9.633014915417181	5.351441547066128	28.8925575	27.53795	6.60506	15.131677473797192	31.2696773466462	13.911235584467805	2.5	10.7437075	5.5	22.4649	18.5348;11.5291;12.8981;31.0478;4.76712;9.958315;2.8669;26.395	11.4063;7.87642;8.64037;16.0749;2.25051;6.292730000000001;1.54729;10.4944	48.3841;20.92;24.7885;43.3906;13.6675;30.287399999999998;6.60506;43.0973	1	6	1	16439	Itpr2_69649	4.76712	4.76712		2.25051	2.25051		13.6675	13.6675		4.76712	2.25051	13.6675	6	22334;19122;18759;26408;18750;26926	Vdac2_31003;Prnp_82119;Prkci_80322;Map3k5_65275;Prkca_56923;Aifm1_75407	17.211949999999998	15.71645	10.336282021065408	9.339946666666668	9.567385000000002	4.7816104136646915	31.19759333333333	33.942899999999995	16.353265970816558	18.5348;11.5291;12.8981;31.0478;2.8669;26.395	11.4063;7.87642;8.64037;16.0749;1.54729;10.4944	48.3841;20.92;24.7885;43.3906;6.60506;43.0973	1	12955	Cryab_30937,Cryab_78228	8.46493,11.4517	4.01227,8.57319	43.5026,17.0722	Exp 2,1(0.12);Exp 4,2(0.23);Linear,3(0.34);Poly 2,1(0.12);Power,2(0.23)	2.754783634852132	29.684646368026733	1.522050380706787	7.507168769836426	2.3790874138327096	2.0713131427764893	7.853840525449163	21.64544322455084	4.749310034966992	11.396419965033008	18.406839982599273	39.378275017400725	DOWN	0.125	0.75	0.125	
1016	Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	70	91	42	38	17	37	36	33	40	14	14	880	77	8016	0.96588	0.064986	0.10923	15.38	243362;19367;19045;15251;13041;12534;12261;11350;22334;18759;18750;170770;19055;12370	stard13;rad9a;ppp1ca;hif1a;ctsw;cdk1;c1qbp;abl1;vdac2;prkci;prkca;bbc3;ppp3ca;casp8	Stard13_69174;Rad9a_31591;Ppp1ca_57559;Hif1a_30830;Ctsw_61464;Cdk1_76534;C1qbp_63448;Abl1_29114,Abl1_71120;Vdac2_31003;Prkci_80322;Prkca_56923;Bbc3_31767;Ppp3ca_59808;Casp8_30720	243362(-0.4434);12534(0.4062);18759(0.0818);12370(-0.3147)	13.346947142857143	14.542475	2.8669	6.431705716707633	14.395032392772624	6.260958267569107	8.740164642857144	8.9072125	1.53678	4.277160597965244	9.370602438807413	4.153762774601123	21.871254285714286	21.344425	6.60506	11.52078292546308	23.44595066607935	11.599764730172065	3.5	8.647225	8.5	17.912399999999998	20.0596;17.9982;7.99758;20.8623;17.8266;3.1665;9.29687;16.18685;18.5348;12.8981;2.8669;21.0917;7.67566;10.3956	12.566;12.1749;5.72226;14.3849;12.5511;1.53678;6.54591;9.174055000000001;11.4063;8.64037;1.54729;13.7815;5.3069;7.02404	21.4432;37.5043;12.8375;21.7186;33.6996;8.09045;15.5455;21.24565;48.3841;24.7885;6.60506;22.1722;13.1316;19.0313	4	11	4	19367;13041;12261;170770	Rad9a_31591;Ctsw_61464;C1qbp_63448;Bbc3_31767	16.5533425	17.912399999999998	5.064973833353758	11.2633525	12.363	3.2189306216544957	27.2304	27.935899999999997	10.157523403861783	17.9982;17.8266;9.29687;21.0917	12.1749;12.5511;6.54591;13.7815	37.5043;33.6996;15.5455;22.1722	10	243362;19045;15251;12534;11350;22334;18759;18750;19055;12370	Stard13_69174;Ppp1ca_57559;Hif1a_30830;Cdk1_76534;Abl1_29114,Abl1_71120;Vdac2_31003;Prkci_80322;Prkca_56923;Ppp3ca_59808;Casp8_30720	12.064389000000002	11.64685	6.693558936281702	7.730889500000001	7.832205	4.360001556058877	19.727596	20.138475	11.809174329479974	20.0596;7.99758;20.8623;3.1665;16.18685;18.5348;12.8981;2.8669;7.67566;10.3956	12.566;5.72226;14.3849;1.53678;9.174055000000001;11.4063;8.64037;1.54729;5.3069;7.02404	21.4432;12.8375;21.7186;8.09045;21.24565;48.3841;24.7885;6.60506;13.1316;19.0313	0						Exp 2,4(0.27);Exp 4,2(0.14);Hill,4(0.27);Linear,5(0.34)	2.8038830691960595	46.999815702438354	1.522050380706787	9.558792114257812	1.9269969189313922	2.7051310539245605	9.977813654230596	16.71608063148368	6.499650906445829	10.980678379268458	15.83629913088736	27.90620944054121	DOWN	0.2857142857142857	0.7142857142857143	0.0	
1017	Mitochondrial pathway of apoptosis: caspases	59	72	26	26	12	21	24	20	25	11	11	883	61	8032	0.94944	0.09821	0.16126	15.28	17846;12211;56369;18952;15507;11545;12371;11796;227753;12369;12367	commd1;birc6;apip;sept4;hspb1;parp1;casp9;birc3;gsn;casp7;casp3	Commd1_63466;Birc6_64263,Birc6_65492;Apip_70013;Gm11492_57083;Hspb1_30392;Parp1_80176;Casp9_66180;Birc3_31711;Gsn_79720;Casp7_57185;Casp3_74474	12211(0.2942);11545(-0.2617);12367(-0.0181)	12.815083181818181	12.7692	3.7485	6.549815514931806	13.041290497629241	5.176151000478584	7.758911681818183	8.57009	1.96254	3.565894766132912	8.595197677778033	3.382651527001589	23.78164181818182	23.3661	9.17363	9.529730222406934	23.58050913022514	8.061269041001248	2.5	7.479737500000001	6.5	14.689350000000001	20.7064;6.049445;13.8515;16.1895;5.64844;3.7485;12.4152;15.5272;25.1505;8.91003;12.7692	12.0711;3.9531185;9.14994;12.8803;3.14977;1.96254;8.37528;10.0027;9.19113;6.04206;8.57009	22.7005;12.16023;27.8047;21.4242;28.123;9.17363;23.3661;33.8985;42.5905;15.9544;24.4023	2	10	2	18952;11796	Gm11492_57083;Birc3_31711	15.85835	15.85835	0.46831682117983126	11.441500000000001	11.441500000000001	2.0347704735423835	27.66135	27.66135	8.820662120555351	16.1895;15.5272	12.8803;10.0027	21.4242;33.8985	9	17846;12211;56369;15507;11545;12371;227753;12369;12367	Commd1_63466;Birc6_64263,Birc6_65492;Apip_70013;Hspb1_30392;Parp1_80176;Casp9_66180;Gsn_79720;Casp7_57185;Casp3_74474	12.138801666666666	12.4152	7.125152244939229	6.940558722222223	8.37528	3.3515954486372532	22.919484444444443	23.3661	9.959664851838786	20.7064;6.049445;13.8515;5.64844;3.7485;12.4152;25.1505;8.91003;12.7692	12.0711;3.9531185;9.14994;3.14977;1.96254;8.37528;9.19113;6.04206;8.57009	22.7005;12.16023;27.8047;28.123;9.17363;23.3661;42.5905;15.9544;24.4023	0						Exp 2,3(0.25);Exp 4,1(0.09);Hill,2(0.17);Linear,4(0.34);Poly 2,1(0.09);Power,1(0.09)	3.4749213170461197	86.87409007549286	1.6767686605453491	53.81303024291992	14.74840392072748	2.3347184658050537	8.944389563837147	16.685776799799218	5.651602539721474	9.86622082391489	18.14993114345213	29.413352492911507	DOWN	0.18181818181818182	0.8181818181818182	0.0	
1018	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	2	2	2	2	1	2	2	2	2	1	1	893	1	8092	0.99011	0.18907	0.18907	50.0	11740	slc25a5	Slc25a5_71436		22.3721	22.3721	22.3721		22.3721		13.2446	13.2446	13.2446		13.2446		27.1088	27.1088	27.1088		27.1088		0.0	22.3721	0.0	22.3721	22.3721	13.2446	27.1088	1	0	1	11740	Slc25a5_71436	22.3721	22.3721		13.2446	13.2446		27.1088	27.1088		22.3721	13.2446	27.1088	0															0						Hill,1(1)	1.8796217441558838	1.8796217441558838	1.8796217441558838	1.8796217441558838	0.0	1.8796217441558838	22.3721	22.3721	13.2446	13.2446	27.1088	27.1088	UP	1.0	0.0	0.0	
1019	DCC role in regulating apoptosis	6	10	4	4	4	4	4	4	4	4	4	890	6	8087	0.99842	0.012512	0.012512	40.0	94275;13144;12371;12367	maged1;dapk3;casp9;casp3	Maged1_73803;Dapk3_76304;Casp9_66180;Casp3_74474	13144(-0.305);12367(-0.0181)	16.09075	12.83255	12.4152	6.797677876304524	14.787715092402461	5.724590230141942	8.698485000000002	8.472685	3.72237	4.256084169065109	8.579774394250514	3.4064899750484776	28.307875	23.8842	22.1745	10.028543706964642	26.646533684120463	8.328044149646624	0.0	12.4152	0.0	12.4152	12.8959;26.2827;12.4152;12.7692	3.72237;14.1262;8.37528;8.57009	22.1745;43.2886;23.3661;24.4023	2	2	2	94275;13144	Maged1_73803;Dapk3_76304	19.589299999999998	19.589299999999998	9.46589705838808	8.924285000000001	8.924285000000001	7.356618743312037	32.73155	32.73155	14.929923288650883	12.8959;26.2827	3.72237;14.1262	22.1745;43.2886	2	12371;12367	Casp9_66180;Casp3_74474	12.5922	12.5922	0.2503158005400358	8.472685	8.472685	0.13775147204295715	23.8842	23.8842	0.7327040466655051	12.4152;12.7692	8.37528;8.57009	23.3661;24.4023	0						Hill,1(0.25);Linear,2(0.5);Power,1(0.25)	1.8489746234983513	7.459030866622925	1.5639982223510742	2.1142847537994385	0.2781626936866677	1.890373945236206	9.429025681221567	22.752474318778432	4.52752251431619	12.86944748568381	18.479902167174657	38.13584783282534	CONFLICT	0.5	0.5	0.0	
102	Phosphoinositides and their downstream targets	23	25	8	8	2	7	8	7	8	2	2	892	23	8070	0.5405	0.72642	1.0	8.0	56421;19353	pfkp;rac1	Pfkp_70497;Rac1_30873	56421(-0.04463);19353(0.02082)	17.63792	17.63792	7.12354	14.86957879594442	23.99717507927187	11.841626714362786	8.044705	8.044705	3.64681	6.219562754892821	10.70461800645919	4.9530481986538835	37.5424	37.5424	31.6955	8.268765277839226	41.07869301233118	6.584963377413359	0.5	17.63792			28.1523;7.12354	12.4426;3.64681	43.3893;31.6955	0	2	0															2	56421;19353	Pfkp_70497;Rac1_30873	17.63792	17.63792	14.86957879594442	8.044705	8.044705	6.219562754892821	37.5424	37.5424	8.268765277839226	28.1523;7.12354	12.4426;3.64681	43.3893;31.6955	0						Exp 3,1(0.5);Poly 2,1(0.5)	2.390296427889482	4.871251821517944	1.967911720275879	2.9033401012420654	0.6614477514955437	2.435625910758972	-2.9702647999999954	38.2461048	-0.5751691999999977	16.6645792	26.082476	49.002324	DOWN	0.0	1.0	0.0	
1020	Breakdown of the nuclear lamina	3	3	1	1	0	1	1	1	1	0	0	894	3	8090	0.73024	1.0	1.0	0.0																														0	0	0															0															0																							
1021	Activation of DNA fragmentation factor	7	9	4	4	1	3	4	3	3	1	1	893	8	8085	0.77668	0.61072	0.61072	11.11	12367	casp3	Casp3_74474	12367(-0.0181)	12.7692	12.7692	12.7692		12.7692		8.57009	8.57009	8.57009		8.57009		24.4023	24.4023	24.4023		24.402300000000004		0.0	12.7692	0.0	12.7692	12.7692	8.57009	24.4023	0	1	0															1	12367	Casp3_74474	12.7692	12.7692		8.57009	8.57009		24.4023	24.4023		12.7692	8.57009	24.4023	0						Linear,1(1)	2.0879733562469482	2.0879733562469482	2.0879733562469482	2.0879733562469482	0.0	2.0879733562469482	12.7692	12.7692	8.57009	8.57009	24.4023	24.4023	DOWN	0.0	1.0	0.0	
1022	Caspase-mediated cleavage of cytoskeletal proteins	12	12	7	7	5	7	7	7	7	5	5	889	7	8086	0.99948	0.0042011	0.0042011	41.67	227753;12370;12369;11518;12367	gsn;casp8;casp7;add1;casp3	Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Casp3_74474	12370(-0.3147);11518(0.1045);12367(-0.0181)	12.799838	10.3956	6.77386	7.241601480668487	12.068704675433105	6.210790071885486	7.1318600000000005	7.02404	4.83198	1.788703138631446	7.1158982815000345	1.6771145016454756	22.56868	19.0313	10.8649	12.221657640107578	21.587031510471025	10.53991492162687	0.0	6.77386	0.5	7.841945000000001	25.1505;10.3956;8.91003;6.77386;12.7692	9.19113;7.02404;6.04206;4.83198;8.57009	42.5905;19.0313;15.9544;10.8649;24.4023	0	5	0															5	227753;12370;12369;11518;12367	Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Casp3_74474	12.799838	10.3956	7.241601480668487	7.1318600000000005	7.02404	1.788703138631446	22.56868	19.0313	12.221657640107578	25.1505;10.3956;8.91003;6.77386;12.7692	9.19113;7.02404;6.04206;4.83198;8.57009	42.5905;19.0313;15.9544;10.8649;24.4023	0						Exp 2,3(0.6);Linear,1(0.2);Power,1(0.2)	2.7093289392753115	13.728395938873291	2.0879733562469482	3.3376474380493164	0.48955213241817674	2.9076826572418213	6.452294434718757	19.147381565281243	5.563992570657517	8.699727429342484	11.855924745844	33.281435254156	DOWN	0.0	1.0	0.0	
1023	Inactivation of BCL-2 by BH3-only proteins	6	6	3	2	1	3	1	1	3	1	1	893	5	8088	0.88682	0.4668	0.4668	16.67	170770	bbc3	Bbc3_31767		21.0917	21.0917	21.0917		21.0917		13.7815	13.7815	13.7815		13.7815		22.1722	22.1722	22.1722		22.172200000000004		0.0	21.0917	0.0	21.0917	21.0917	13.7815	22.1722	1	0	1	170770	Bbc3_31767	21.0917	21.0917		13.7815	13.7815		22.1722	22.1722		21.0917	13.7815	22.1722	0															0						Hill,1(1)	3.6354176998138423	3.6354176998138428	3.6354176998138428	3.6354176998138428	0.0	3.6354176998138428	21.0917	21.0917	13.7815	13.7815	22.1722	22.1722	UP	1.0	0.0	0.0	
1024	Activation and myristolyation of BID and its translocation to mitochondria	3	3	2	1	1	2	1	1	2	1	1	893	2	8091	0.97231	0.26976	0.26976	33.33	12370	casp8	Casp8_30720	12370(-0.3147)	10.3956	10.3956	10.3956		10.3956		7.02404	7.02404	7.02404		7.02404		19.0313	19.0313	19.0313		19.0313		0.0	10.3956	0.0	10.3956	10.3956	7.02404	19.0313	0	1	0															1	12370	Casp8_30720	10.3956	10.3956		7.02404	7.02404		19.0313	19.0313		10.3956	7.02404	19.0313	0						Exp 2,1(1)	2.4285080432891846	2.4285080432891846	2.4285080432891846	2.4285080432891846	0.0	2.4285080432891846	10.3956	10.3956	7.02404	7.02404	19.0313	19.0313	DOWN	0.0	1.0	0.0	
1025	Cell cycle	378	439	208	199	63	180	187	161	196	52	52	842	387	7706	0.9229	0.10218	0.19012	11.85	72415;67629;233276;70454;83431;68121;66570;497652;76464;72155;59008;103768;76707;70645;26920;67052;69270;26965;12544;22642;22196;22145;22137;21808;211586;20957;27401;19650;245688;19076;226849;18973;18536;17283;16881;26370;229841;12617;12532;12445;19367;12534;11350;54401;57296;19182;19177;19175;26443;19166;26440;12578	sgo1;spc24;tubgcp5;cenpl;ndel1;cep70;cenpm;acd;knl1;cenpn;anapc5;tubg2;clasp1;oip5;cntrl;ndc80;gins1;cul1;cdc45;zbtb17;ube2i;tuba4a;ttk;tgfb2;tfdp2;sycp1;skp2;rbl1;rbbp7;prim2;ppp2r5a;pole;pcm1;men1;lig1;cetn2;cenpe;cenpc1;cdc25c;ccnd3;rad9a;cdk1;abl1;ywhab;psmd8;psmc3;psmb7;psmb6;psma6;psma2;psma1;cdkn2a	Sgo1_29058;Spc24_31132;Tubgcp5_63771;Cenpl_30394;Ndel1_67775;Cep70_71595;Cenpm_54278;Acd_29743;Knl1_30400;Cenpn_68700;Anapc5_65388;Tubg2_78346;Clasp1_71151;Oip5_30254;Cntrl_75230;Ndc80_76663;Gins1_81903;Cul1_31957,Cul1_77492;Cdc45_70972;Zbtb17_66729;Ube2i_71501;Tuba4a_29527;Ttk_77530;Tgfb2_60154;Tfdp2_69536;Sycp1_68220;Skp2_29041;Rbl1_75918;Rbbp7_74867;Prim2_56868;Ppp2r5a_30460;Pole_70579;Pcm1_80469;Men1_74110;Lig1_29706;Cetn2_67324;Cenpe_30836;Cenpc1_55956;Cdc25c_30344;Ccnd3_68992;Rad9a_31591;Cdk1_76534;Abl1_29114,Abl1_71120;Ywhab_60393;Psmd8_31614;Psmc3_54556;Psmb7_67113;Psmb6_69968;Psma6_55725;Psma2_31299;Psma1_73656;Cdkn2a_29751	233276(-0.3328);70454(-0.4396);68121(-0.2396);59008(-0.7683);26920(-0.4474);67052(0.01762);26965(-0.7258);12544(-0.5472);22196(0.3973);211586(-0.4271);27401(0.01208);245688(0.09655);226849(-0.3535);18536(-0.5426);17283(-0.6104);16881(0.3152);12445(-0.0654);12534(0.4062);57296(0.4123)	12.269697423076925	8.7698	0.115356	11.79747453111383	11.492371550661616	11.13682050547732	7.685428696153847	5.854985	0.0606262	7.271695925612634	7.277836792559238	6.895370395347601	21.69945236538462	16.9274	0.26384	22.290007847122734	19.827139186206608	18.14619217985063	20.5	5.60492	42.5	22.7939	0.562263;20.9615;30.0273;22.2292;11.9927;5.21955;2.26796;0.798787;0.47261;0.115356;11.3258;41.1231;15.2416;2.89036;4.84139;42.124;1.76405;15.82855;2.29397;13.2387;25.6527;7.4624;5.15017;5.99029;9.98047;40.6135;0.480622;10.0465;6.82855;3.21074;13.2533;2.81415;14.3392;15.741;0.265188;20.5684;1.94772;4.8182;1.06467;7.29613;17.9982;3.1665;16.18685;3.1964;30.7661;12.4816;23.3586;24.0615;12.184;2.35554;7.55913;41.8672	0.204572;12.4317;17.7092;17.7834;8.13945;2.4161;1.19016;0.404161;0.196586;0.0606262;7.7596;24.4021;9.64741;1.97548;2.06186;25.5065;0.822596;9.73646;0.986144;8.8245;13.9157;5.51656;3.06234;4.38037;6.63616;24.1989;0.166219;6.19341;4.86899;1.60105;9.8814;1.1126;9.40363;11.1219;0.119631;13.4985;1.39594;2.9866;0.541587;5.00138;12.1749;1.53678;9.174055000000001;2.00434;17.4311;8.17601;16.2043;15.0914;8.07065;0.945435;5.32635;25.6455	2.07742;65.3986;43.1979;29.2122;22.1745;15.1093;5.47673;2.80404;1.65125;0.26384;20.3861;42.2584;34.2707;5.21088;15.02;43.7129;4.83439;21.15885;7.00733;25.833;138.327;11.1724;10.8032;9.11808;18.7455;41.6208;2.0278;21.5807;10.9648;8.35125;20.2777;9.17043;29.4656;28.321;0.792343;21.8833;3.09865;11.2195;2.5865;12.647;37.5043;8.09045;21.24565;6.18304;39.4091;24.9135;38.295;43.3268;23.7035;10.6942;12.4698;43.3043	13	41	13	70454;83431;497652;103768;67052;22642;22145;20957;226849;17283;19367;19177;19175	Cenpl_30394;Ndel1_67775;Acd_29743;Tubg2_78346;Ndc80_76663;Zbtb17_66729;Tuba4a_29527;Sycp1_68220;Ppp2r5a_30460;Men1_74110;Rad9a_31591;Psmb7_67113;Psmb6_69968	21.07653746153846	17.9982	13.170758531282242	13.788420846153844	12.1749	7.697011301806114	29.731772307692303	29.2122	13.056954470599294	22.2292;11.9927;0.798787;41.1231;42.124;13.2387;7.4624;40.6135;13.2533;15.741;17.9982;23.3586;24.0615	17.7834;8.13945;0.404161;24.4021;25.5065;8.8245;5.51656;24.1989;9.8814;11.1219;12.1749;16.2043;15.0914	29.2122;22.1745;2.80404;42.2584;43.7129;25.833;11.1724;41.6208;20.2777;28.321;37.5043;38.295;43.3268	39	72415;67629;233276;68121;66570;76464;72155;59008;76707;70645;26920;69270;26965;12544;22196;22137;21808;211586;27401;19650;245688;19076;18973;18536;16881;26370;229841;12617;12532;12445;12534;11350;54401;57296;19182;26443;19166;26440;12578	Sgo1_29058;Spc24_31132;Tubgcp5_63771;Cep70_71595;Cenpm_54278;Knl1_30400;Cenpn_68700;Anapc5_65388;Clasp1_71151;Oip5_30254;Cntrl_75230;Gins1_81903;Cul1_31957,Cul1_77492;Cdc45_70972;Ube2i_71501;Ttk_77530;Tgfb2_60154;Tfdp2_69536;Skp2_29041;Rbl1_75918;Rbbp7_74867;Prim2_56868;Pole_70579;Pcm1_80469;Lig1_29706;Cetn2_67324;Cenpe_30836;Cenpc1_55956;Cdc25c_30344;Ccnd3_68992;Cdk1_76534;Abl1_29114,Abl1_71120;Ywhab_60393;Psmd8_31614;Psmc3_54556;Psma6_55725;Psma2_31299;Psma1_73656;Cdkn2a_29751	9.334084076923077	5.21955	9.83039499049537	5.651097979487179	3.06234	5.938770072686281	19.022012384615383	11.2195	24.156803217291476	0.562263;20.9615;30.0273;5.21955;2.26796;0.47261;0.115356;11.3258;15.2416;2.89036;4.84139;1.76405;15.82855;2.29397;25.6527;5.15017;5.99029;9.98047;0.480622;10.0465;6.82855;3.21074;2.81415;14.3392;0.265188;20.5684;1.94772;4.8182;1.06467;7.29613;3.1665;16.18685;3.1964;30.7661;12.4816;12.184;2.35554;7.55913;41.8672	0.204572;12.4317;17.7092;2.4161;1.19016;0.196586;0.0606262;7.7596;9.64741;1.97548;2.06186;0.822596;9.73646;0.986144;13.9157;3.06234;4.38037;6.63616;0.166219;6.19341;4.86899;1.60105;1.1126;9.40363;0.119631;13.4985;1.39594;2.9866;0.541587;5.00138;1.53678;9.174055000000001;2.00434;17.4311;8.17601;8.07065;0.945435;5.32635;25.6455	2.07742;65.3986;43.1979;15.1093;5.47673;1.65125;0.26384;20.3861;34.2707;5.21088;15.02;4.83439;21.15885;7.00733;138.327;10.8032;9.11808;18.7455;2.0278;21.5807;10.9648;8.35125;9.17043;29.4656;0.792343;21.8833;3.09865;11.2195;2.5865;12.647;8.09045;21.24565;6.18304;39.4091;24.9135;23.7035;10.6942;12.4698;43.3043	0						Exp 2,16(0.3);Exp 4,14(0.26);Hill,8(0.15);Linear,7(0.13);Poly 2,4(0.08);Power,5(0.1)	3.3864921408659754	222.60783219337463	1.5148495435714722	13.58173656463623	2.8388207741689495	3.0799062252044678	9.063107318765141	15.476287527388706	5.708959229308358	9.661898162999336	15.64095921932078	27.757945511448444	DOWN	0.25	0.75	0.0	
