1522	Dual incision reaction in GG-NER	19	20	14	13	7	13	13	13	14	7	7	1072	13	7895	0.9986	0.0066441	0.0066441	35.0	22590;209357;23894;13870;17420;12572;66671	xpa;gtf2h3;gtf2h2;ercc1;mnat1;cdk7;ccnh	Xpa_68872;Gtf2h3_75017;Gtf2h2_76994;Ercc1_76724;Mnat1_31677,Mnat1_31890;Cdk7_30620;Ccnh_29679,Ccnh_71386	22590(0.4049);23894(0.4327);13870(-0.2286);17420(-0.7694);12572(-0.8011);66671(-0.7374)	17.95875	18.4334	8.14592	8.031931344658028	18.129856240976604	7.2314841581737115	12.062982857142856	11.0751	4.01166	6.231189000163383	11.783846072413922	5.646768737987524	31.088764285714287	31.09015	13.1406	12.434132939303076	34.2025510525719	14.27242216968123	0.0	8.14592	1.0	8.19448	8.19448;8.14592;18.4334;15.5936;28.2268;26.8351;20.281950000000002	5.81454;4.01166;9.46713;11.0751;18.48705;20.4813;15.104099999999999	13.1406;22.5916;52.0242;25.4998;37.6867;35.5883;31.09015	2	3	2	13870;12572	Ercc1_76724;Cdk7_30620	21.21435	21.21435	7.948940880708583	15.778200000000002	15.778200000000002	6.651187805196902	30.54405	30.54405	7.133646762000479	15.5936;26.8351	11.0751;20.4813	25.4998;35.5883	3	22590;209357;23894	Xpa_68872;Gtf2h3_75017;Gtf2h2_76994	11.591266666666668	8.19448	5.92551102705356	6.431109999999999	5.81454	2.7795066385781504	29.252133333333333	22.5916	20.27943824304148	8.19448;8.14592;18.4334	5.81454;4.01166;9.46713	13.1406;22.5916;52.0242	2	17420;66671	Mnat1_31677,Mnat1_31890;Ccnh_29679,Ccnh_71386	22.1791,34.2745;19.4528,21.1111	16.8224,20.1517;15.8109,14.3973	35.2431,40.1303;23.6816,38.4987	Exp 2,2(0.23);Exp 4,1(0.12);Hill,4(0.45);Linear,2(0.23)	5.364272759788856	183.45404195785522	1.7732863426208496	145.98065185546875	47.25373655337313	3.033153772354126	12.008611992057276	23.90888800794273	7.446853446474269	16.679112267811444	21.87742969840278	40.300098873025796	CONFLICT	0.2857142857142857	0.42857142857142855	0.2857142857142857	
1523	Dual incision reaction in TC-NER	25	27	16	16	7	16	16	16	16	7	7	1072	20	7888	0.9885	0.036122	0.036122	25.93	209357;23894;13870;69920;17420;12572;66671	gtf2h3;gtf2h2;ercc1;polr2i;mnat1;cdk7;ccnh	Gtf2h3_75017;Gtf2h2_76994;Ercc1_76724;Polr2i_31963;Mnat1_31677,Mnat1_31890;Cdk7_30620;Ccnh_29679,Ccnh_71386	23894(0.4327);13870(-0.2286);17420(-0.7694);12572(-0.8011);66671(-0.7374)	20.374724285714287	20.281950000000002	8.14592	7.094123235429587	20.30940312846563	6.203702458110473	13.601291428571429	15.104099999999999	4.01166	5.7414625056177355	13.16234635813719	5.267521869123535	36.41370714285714	35.5883	22.5916	11.405666522114807	38.98467076272829	12.03782356984593	0.5	11.86976	1.5	17.0135	8.14592;18.4334;15.5936;25.1063;28.2268;26.8351;20.281950000000002	4.01166;9.46713;11.0751;16.5827;18.48705;20.4813;15.104099999999999	22.5916;52.0242;25.4998;50.4152;37.6867;35.5883;31.09015	3	2	3	13870;69920;12572	Ercc1_76724;Polr2i_31963;Cdk7_30620	22.511666666666667	25.1063	6.053257153246792	16.046366666666668	16.5827	4.7259802891393194	37.167766666666665	35.5883	12.532570586409378	15.5936;25.1063;26.8351	11.0751;16.5827;20.4813	25.4998;50.4152;35.5883	2	209357;23894	Gtf2h3_75017;Gtf2h2_76994	13.28966	13.28966	7.274346869320985	6.739395	6.739395	3.857599831559775	37.307900000000004	37.307900000000004	20.811991047951167	8.14592;18.4334	4.01166;9.46713	22.5916;52.0242	2	17420;66671	Mnat1_31677,Mnat1_31890;Ccnh_29679,Ccnh_71386	22.1791,34.2745;19.4528,21.1111	16.8224,20.1517;15.8109,14.3973	35.2431,40.1303;23.6816,38.4987	Exp 2,1(0.12);Exp 4,1(0.12);Hill,4(0.45);Linear,3(0.34)	5.279118013564076	182.49016904830933	1.7732863426208496	145.98065185546875	47.28846598484183	3.033153772354126	15.119324247436635	25.63012432399193	9.347956482104863	17.854626375037995	27.96427113961093	44.863143146103354	CONFLICT	0.42857142857142855	0.2857142857142857	0.2857142857142857	
1524	ER quality control compartment (ERQC)	6	6	3	2	0	3	2	2	3	0	0	1079	6	7902	0.4641	1.0	1.0	0.0																														0	0	0															0															0																							
1525	Cytochrome P450 metabolism of eicosanoids	2	5	1	1	0	1	1	1	1	0	0	1079	5	7903	0.52746	1.0	1.0	0.0																														0	0	0															0															0																							
1526	Acetylcholine neurotransmitter release cycle	5	11	2	2	1	2	2	2	2	1	1	1078	10	7898	0.6124	0.75531	1.0	9.09	20910	stxbp1	Stxbp1_70802	20910(-0.7232)	19.975	19.975	19.975		19.975		12.9803	12.9803	12.9803		12.9803		39.6149	39.6149	39.6149		39.6149		0.0	19.975			19.975	12.9803	39.6149	0	1	0															1	20910	Stxbp1_70802	19.975	19.975		12.9803	12.9803		39.6149	39.6149		19.975	12.9803	39.6149	0						Exp 2,1(1)	3.124063968658447	3.1240639686584473	3.1240639686584473	3.1240639686584473	0.0	3.1240639686584473	19.975	19.975	12.9803	12.9803	39.6149	39.6149	DOWN	0.0	1.0	0.0	
1527	Elevation of cytosolic calcium levels	5	9	2	2	1	2	2	1	2	0	0	1079	9	7899	0.3161	1.0	0.61143	0.0																														0	0	0															0															0																							
1528	Cytochrome P450 metabolism of endogenous sterols	4	15	3	3	1	3	3	3	3	1	1	1078	14	7894	0.44712	0.85342	1.0	6.67	13074	cyp17a1	Cyp17a1_80340		75.6307	75.6307	75.6307		75.6307		42.1522	42.1522	42.1522		42.1522		77.9426	77.9426	77.9426		77.9426		0.0	75.6307			75.6307	42.1522	77.9426	1	0	1	13074	Cyp17a1_80340	75.6307	75.6307		42.1522	42.1522		77.9426	77.9426		75.6307	42.1522	77.9426	0															0						Power,1(1)	4.092093467712402	4.092093467712402	4.092093467712402	4.092093467712402	0.0	4.092093467712402	75.6307	75.6307	42.1522	42.1522	77.9426	77.9426	UP	1.0	0.0	0.0	
1529	Endosomal/vacuolar pathway	9	19	9	9	6	9	9	8	9	5	5	1074	14	7894	0.97985	0.068463	0.068463	26.32	15040;110557;15013;15007;14972	h2-t23;h2-q6;h2-q2;h2-q10;h2-k1	H2-T23_30494;H2-Q6_31131;H2-Q2_77115;H2-Q10_68579;H2-K1_70796,H2-K1_75900	15040(0.1138);14972(-0.7725)	50.433938999999995	64.0019	3.010395	29.330905444119082	59.30913507852609	23.26703958375185	30.825670000000002	37.7471	1.40945	16.845604522456295	35.09854607065829	13.024515553501214	58.11967500000001	71.7677	7.853275	28.71020061052994	65.69279100975122	22.225718615993053	0.0	3.010395	0.5	22.2963475	41.5823;68.8025;64.0019;74.7726;3.010395	32.7097;39.4097;37.7471;42.8524;1.40945	60.9926;71.7677;73.1908;76.794;7.853275	6	0	5	15040;110557;15013;15007;14972	H2-T23_30494;H2-Q6_31131;H2-Q2_77115;H2-Q10_68579;H2-K1_70796,H2-K1_75900	50.433938999999995	64.0019	29.330905444119082	30.825670000000002	37.7471	16.845604522456295	58.11967500000001	71.7677	28.71020061052994	41.5823;68.8025;64.0019;74.7726;3.010395	32.7097;39.4097;37.7471;42.8524;1.40945	60.9926;71.7677;73.1908;76.794;7.853275	0															0						Exp 2,1(0.17);Exp 4,2(0.34);Hill,1(0.17);Power,2(0.34)	4.599298388310178	29.783053874969482	2.5925307273864746	7.405910491943359	2.013604961775533	5.03805136680603	24.724266821449774	76.14361117855022	16.05984660095826	45.59149339904174	32.95407459658202	83.28527540341797	UP	1.0	0.0	0.0	
153	Keratinocyte differentiation	49	57	36	36	11	35	34	34	36	10	10	1069	47	7861	0.92619	0.13962	0.21591	17.54	18791;20683;14281;26921;19052;26408;53859;16150;20416;14784	plat;sp1;fos;map4k4;ppp2ca;map3k5;map3k14;ikbkb;shc1;grb2	Plat_68592;Sp1_69023;Fos_31714,Fos_79891;Map4k4_69844;Ppp2ca_31086;Map3k5_71001;Map3k14_66710;Ikbkb_80666;Shc1_30382,Shc1_77672;Grb2_31853,Grb2_29420	26921(-0.4958);26408(0.2049);20416(-0.8227);14784(-0.811)	24.173181999999997	22.86985	5.23905	16.7830630508318	26.96608669975639	16.461312244496344	14.818207000000001	14.92248	2.69358	10.316111763090726	16.889210407107775	10.115377490573323	32.537705	30.292875000000002	12.5259	17.265485010715743	34.652358789619726	16.575044385151035	1.5	6.357335	4.5	22.86985	5.23905;18.827;50.9053;38.9577;7.32149;29.102;13.9039;5.39318;45.1695;26.9127	2.69358;15.167;31.71735;25.5839;4.02088;15.1554;10.2464;2.80688;26.101119999999998;14.68956	12.5259;23.4881;55.46535;54.8456;16.823;37.9937;20.9706;13.7797;52.38745;37.09765	6	5	5	20683;14281;26921;53859;16150	Sp1_69023;Fos_31714,Fos_79891;Map4k4_69844;Map3k14_66710;Ikbkb_80666	25.597416000000003	18.827	18.7734798500246	17.104306	15.167	11.625886942710219	33.70987	23.4881	19.89978172592604	18.827;50.9053;38.9577;13.9039;5.39318	15.167;31.71735;25.5839;10.2464;2.80688	23.4881;55.46535;54.8456;20.9706;13.7797	4	18791;19052;26408;20416	Plat_68592;Ppp2ca_31086;Map3k5_71001;Shc1_30382,Shc1_77672	21.70801	18.211745	19.002729648940786	11.992745	9.58814	10.940349370794028	29.9325125	27.40835	18.655262338474138	5.23905;7.32149;29.102;45.1695	2.69358;4.02088;15.1554;26.101119999999998	12.5259;16.823;37.9937;52.38745	1	14784	Grb2_31853,Grb2_29420	20.8,33.0254	9.09442,20.2847	38.3172,35.8781	Exp 2,2(0.16);Exp 4,3(0.24);Exp 5,1(0.08);Hill,5(0.39);Power,2(0.16)	5.756006496354545	92.34186613559723	1.8120845556259155	18.08663558959961	4.6922932876211805	6.064296722412109	13.770931750450822	34.57543224954919	8.424214685428481	21.212199314571517	21.836446521893755	43.23896347810625	CONFLICT	0.5	0.4	0.1	
1530	Entry of influenza virion into host cell via endocytosis	2	3	1	1	0	1	1	1	1	0	0	1079	3	7905	0.6813	1.0	1.0	0.0																														0	0	0															0															0																							
1531	Activated AMPK stimulation of fatty-acid oxidation in muscle	16	18	10	10	4	10	10	10	10	4	4	1075	14	7894	0.94425	0.16183	0.26163	22.22	12896;108097;20869;227154	cpt2;prkab2;stk11;stradb	Cpt2_64478;Prkab2_31140;Stk11_65389;Stradb_71650	12896(0.2909);108097(-0.4956)	17.6972125	20.312350000000002	6.96925	7.394246596326884	18.808161502962623	6.582753771938207	12.622207500000002	14.443850000000001	3.91183	6.233934432247286	13.67364662260711	5.713478551356195	31.844675000000002	36.1232	15.805	10.807059681330216	33.37512485186873	9.495425019915839	0.0	6.96925	0.5	12.847624999999999	18.726;23.1949;6.96925;21.8987	12.3941;16.4936;3.91183;17.6893	35.6206;39.3273;15.805;36.6258	2	2	2	108097;20869	Prkab2_31140;Stk11_65389	15.082075	15.082075	11.473267144159507	10.202715000000001	10.202715000000001	8.896654886329465	27.56615	27.56615	16.632777839104328	23.1949;6.96925	16.4936;3.91183	39.3273;15.805	2	12896;227154	Cpt2_64478;Stradb_71650	20.312350000000002	20.312350000000002	2.2434376846705306	15.041699999999999	15.041699999999999	3.744271827739014	36.1232	36.1232	0.7107837364489461	18.726;21.8987	12.3941;17.6893	35.6206;36.6258	0						Exp 2,2(0.5);Exp 4,1(0.25);Hill,1(0.25)	2.759289719033968	11.357903242111206	2.1394357681274414	4.030462265014648	0.824941461241799	2.594002604484558	10.45085083559966	24.943574164400346	6.512951756397658	18.731463243602345	21.253756512296377	42.43559348770362	CONFLICT	0.5	0.5	0.0	
1532	Ethanol oxidation	4	7	2	2	0	2	2	2	2	0	0	1079	7	7901	0.40834	1.0	1.0	0.0																														0	0	0															0															0																							
1533	Extension of telomeres	27	28	22	20	5	20	20	19	22	5	5	1074	23	7885	0.88905	0.24044	0.37423	17.86	67967;19076;18974;18538;327762	pold3;prim2;pole2;pcna;dna2	Pold3_72377;Prim2_56868;Pole2_75604;Pcna_77579;Dna2_31552	67967(-0.0437);18974(-0.3147)	18.838904	5.58121	0.84858	30.408928485476597	31.758012329819202	37.52354086141225	10.303384	3.77414	0.54447	16.704300888134473	17.426402096551065	20.602921122496333	24.039418	16.5983	1.56246	29.097179073738747	35.242127480799496	36.321376763907935	0.5	3.086515	1.5	5.45283	5.58121;9.47968;5.32445;0.84858;72.9606	2.60965;4.52486;3.77414;0.54447;40.0638	16.5983;18.9146;8.50233;1.56246;74.6194	1	4	1	327762	Dna2_31552	72.9606	72.9606		40.0638	40.0638		74.6194	74.6194		72.9606	40.0638	74.6194	4	67967;19076;18974;18538	Pold3_72377;Prim2_56868;Pole2_75604;Pcna_77579	5.308479999999999	5.45283	3.5291289833706383	2.86328	3.1918949999999997	1.7351005762395064	11.3944225	12.550315	7.930218498386934	5.58121;9.47968;5.32445;0.84858	2.60965;4.52486;3.77414;0.54447	16.5983;18.9146;8.50233;1.56246	0						Exp 2,1(0.2);Exp 4,2(0.4);Exp 5,1(0.2);Power,1(0.2)	7.492341013150692	52.02887511253357	3.3115763664245605	28.19509506225586	10.315315600147176	6.492025852203369	-7.815697036850512	45.49350503685051	-4.338581302571683	24.94534930257168	-1.4653839820467667	49.54421998204676	DOWN	0.2	0.8	0.0	
1535	Factors involved in megakaryocyte development and platelet production	94	124	65	63	22	63	61	60	64	22	22	1057	102	7806	0.97843	0.038076	0.051815	17.74	16923;17135;17133;208869;15968;17134;319899;105445;99982;26934;16551;20466;73804;71819;22390;15182;11350;67414;330662;19088;19084;18749	sh2b3;mafk;maff;dock3;ifna5;mafg;dock6;dock9;kdm1a;racgap1;kif11;sin3a;kif2c;kif23;wee1;hdac2;abl1;mfn1;dock1;prkar2b;prkar1a;prkacb	Sh2b3_79130,Sh2b3_64208;Mafk_60769;Maff_30224;Dock3_67162;Ifna5_56192;Mafg_62943;Dock6_70085;Dock9_61360;Kdm1a_72447;Racgap1_30164;Kif11_64960;Sin3a_65683,Sin3a_77814;Kif2c_72294;Kif23_31277,Kif23_79265;Wee1_57745;Hdac2_65110;Abl1_29114,Abl1_71120;Mfn1_66580;Dock1_73668;Prkar2b_30641,Prkar2b_56567;Prkar1a_62490;Prkacb_29599	16923(0.2326);319899(0.4403);99982(-0.3332);26934(0.276);73804(0.06704);15182(-0.3702);11350(-0.5024);67414(-0.3464);330662(0.2028);19088(-0.8372);18749(-0.5345)	21.15981656818182	14.9941	0.9295595000000001	22.776051645107856	18.387449531272086	18.442435322498127	13.193997113636364	9.984715000000001	0.4908805	12.851951719038265	11.670956575837783	10.776328058877434	29.563914090909098	25.7231	2.42979	23.042318809391436	27.356283171230128	19.265224122168256	5.5	5.588145	11.5	15.6826	29.2406;16.0893;14.6548;74.733;26.3778;15.2759;14.7123;2.87998;14.0326;1.22439;4.00837;14.442285;7.07621;0.9295595000000001;2.98734;17.8781;69.4765;4.10008;19.8643;18.739649999999997;76.6795;20.1134	23.82135;8.88358;9.45833;39.9477;16.9911;11.442;10.5111;1.59446;9.3011;0.549091;2.10995;9.38978;3.28602;0.4908805;1.44052;12.2633;42.246700000000004;2.35606;15.2655;11.781815;40.7478;16.3898	44.2153;25.5875;21.8909;76.7432;40.7962;19.5942;23.7029;6.66651;25.8587;3.97409;9.69441;28.42925;16.9506;2.42979;7.78843;31.6221;79.11269999999999;9.10778;34.4144;28.504550000000002;79.5233;33.7993	10	13	9	16923;17135;17133;208869;15968;17134;319899;105445;67414	Sh2b3_79130,Sh2b3_64208;Mafk_60769;Maff_30224;Dock3_67162;Ifna5_56192;Mafg_62943;Dock6_70085;Dock9_61360;Mfn1_66580	22.007084444444445	15.2759	21.57995304945258	13.88952	10.5111	11.903665120874535	29.811609999999998	23.7029	21.55614306543381	29.2406;16.0893;14.6548;74.733;26.3778;15.2759;14.7123;2.87998;4.10008	23.82135;8.88358;9.45833;39.9477;16.9911;11.442;10.5111;1.59446;2.35606	44.2153;25.5875;21.8909;76.7432;40.7962;19.5942;23.7029;6.66651;9.10778	11	99982;26934;16551;20466;73804;71819;22390;15182;330662;19084;18749	Kdm1a_72447;Racgap1_30164;Kif11_64960;Sin3a_65683,Sin3a_77814;Kif2c_72294;Kif23_31277,Kif23_79265;Wee1_57745;Hdac2_65110;Dock1_73668;Prkar1a_62490;Prkacb_29599	16.294186772727276	14.0326	21.35632541963678	10.112158318181818	9.3011	11.748043965748298	24.953124545454546	25.8587	21.77606334546507	14.0326;1.22439;4.00837;14.442285;7.07621;0.9295595000000001;2.98734;17.8781;19.8643;76.6795;20.1134	9.3011;0.549091;2.10995;9.38978;3.28602;0.4908805;1.44052;12.2633;15.2655;40.7478;16.3898	25.8587;3.97409;9.69441;28.42925;16.9506;2.42979;7.78843;31.6221;34.4144;79.5233;33.7993	2	11350;19088	Abl1_29114,Abl1_71120;Prkar2b_30641,Prkar2b_56567	65.5473,73.4057;20.182,17.2973	44.8343,39.6591;9.32973,14.2339	79.4841,78.7413;36.2689,20.7402	Exp 2,3(0.12);Exp 4,8(0.3);Exp 5,1(0.04);Hill,8(0.3);Linear,2(0.08);Poly 2,1(0.04);Power,4(0.15)	5.039966177462298	184.0409551858902	1.515146017074585	30.276817321777344	6.62686898930377	5.244805335998535	11.642310336262645	30.67732280010099	7.823508300025676	18.56448592724705	19.93514189266213	39.19268628915605	CONFLICT	0.4090909090909091	0.5	0.09090909090909091	
1536	Cytochrome P450 metabolism of fatty acids	2	6	1	1	1	1	1	1	1	1	1	1078	5	7903	0.84428	0.5359	0.5359	16.67	13117	cyp4a10	Cyp4a10_66565		44.6985	44.6985	44.6985		44.69850000000001		35.5044	35.5044	35.5044		35.5044		61.7905	61.7905	61.7905		61.7905		0.0	44.6985	0.0	44.6985	44.6985	35.5044	61.7905	1	0	1	13117	Cyp4a10_66565	44.6985	44.6985		35.5044	35.5044		61.7905	61.7905		44.6985	35.5044	61.7905	0															0						Exp 2,1(1)	10.391966819763185	10.391966819763184	10.391966819763184	10.391966819763184	0.0	10.391966819763184	44.6985	44.6985	35.5044	35.5044	61.7905	61.7905	UP	1.0	0.0	0.0	
1537	Folding of actin by CCT/TriC	9	9	7	7	1	7	7	7	7	1	1	1078	8	7900	0.70467	0.6839	1.0	11.11	12464	cct4	Cct4_71398	12464(-0.7928)	18.9704	18.9704	18.9704		18.9704		13.151	13.151	13.151		13.151		33.0554	33.0554	33.0554		33.0554		0.0	18.9704	0.0	18.9704	18.9704	13.151	33.0554	1	0	1	12464	Cct4_71398	18.9704	18.9704		13.151	13.151		33.0554	33.0554		18.9704	13.151	33.0554	0															0						Linear,1(1)	1.7509106397628784	1.7509106397628784	1.7509106397628784	1.7509106397628784	0.0	1.7509106397628784	18.9704	18.9704	13.151	13.151	33.0554	33.0554	UP	1.0	0.0	0.0	
1538	Fibrin clot formation (clotting cascade)	11	32	6	6	4	6	5	5	6	4	4	1075	28	7880	0.66209	0.54631	0.78949	12.5	58992;21788;12261;22371	f12;tfpi;c1qbp;vwf	F12_66086;Tfpi_59954;C1qbp_63448;Vwf_65542		30.042975	16.817349999999998	15.9261	27.05148067535614	32.53633004708739	28.523833937578818	18.585324999999997	11.84175	11.2856	13.862499786925161	19.862494953652973	14.617171898136021	38.62025	28.11905	26.1952	22.319679356194474	40.67184451387449	23.533748518592105	0.5	16.13335	2.5	43.9526	70.6111;17.2941;16.3406;15.9261	39.3722;12.1375;11.546;11.2856	72.0477;29.1625;27.0756;26.1952	3	1	3	58992;12261;22371	F12_66086;C1qbp_63448;Vwf_65542	34.2926	16.3406	31.453426430994757	20.7346	11.546	16.14116019250165	41.77283333333333	27.0756	26.22249873302188	70.6111;16.3406;15.9261	39.3722;11.546;11.2856	72.0477;27.0756;26.1952	1	21788	Tfpi_59954	17.2941	17.2941		12.1375	12.1375		29.1625	29.1625		17.2941	12.1375	29.1625	0						Linear,3(0.75);Power,1(0.25)	6.188308994377578	30.716935634613037	2.9589405059814453	16.768184661865234	6.210368229668513	5.494905233383179	3.532523938150984	56.55342606184901	5.000075208813344	32.17057479118665	16.74696423092943	60.49353576907058	UP	0.75	0.25	0.0	
1539	UDP-glucuronate active cofactor formation	3	3	2	2	0	2	2	2	2	0	0	1079	3	7905	0.6813	1.0	1.0	0.0																														0	0	0															0															0																							
154	Progesterone-initiated oocyte maturation	20	23	18	17	9	18	17	17	18	9	9	1070	14	7894	0.99984	8.5125E-4	8.5125E-4	39.13	12331;18667;14683;12532;268697;12534;19088;19084;18749	cap1;pgr;gnas;cdc25c;ccnb1;cdk1;prkar2b;prkar1a;prkacb	Cap1_68890;Pgr_30299;Gnas_32093;Cdc25c_30344;Ccnb1_31979;Cdk1_76534;Prkar2b_30641,Prkar2b_56567;Prkar1a_62490;Prkacb_29599	14683(-0.5231);12532(-0.3068);12534(-0.2347);19088(-0.8372);18749(-0.5345)	32.28437888888889	19.8515	1.6368	32.81357207322621	39.94052164031916	33.516761995835004	17.828885	11.7955	1.11797	16.428165816605564	21.510299821806747	16.38129707873366	37.78382222222223	32.4525	2.75624	32.1802595587259	45.24880812544121	32.23072362218752	0.5	2.15157	1.5	2.83258	19.8515;71.4098;76.4636;1.6368;2.66634;2.99882;18.739649999999997;76.6795;20.1134	11.7955;39.081;35.7367;1.11797;1.94801;1.86137;11.781815;40.7478;16.3898	32.4525;73.989;79.1774;2.75624;4.0531;5.79901;28.504550000000002;79.5233;33.7993	1	7	1	18667	Pgr_30299	71.4098	71.4098		39.081	39.081		73.989	73.989		71.4098	39.081	73.989	7	12331;14683;12532;268697;12534;19084;18749	Cap1_68890;Gnas_32093;Cdc25c_30344;Ccnb1_31979;Cdk1_76534;Prkar1a_62490;Prkacb_29599	28.629994285714286	19.8515	33.68012309965571	15.656735714285714	11.7955	16.52185412107739	33.937264285714285	32.4525	33.62553839848707	19.8515;76.4636;1.6368;2.66634;2.99882;76.6795;20.1134	11.7955;35.7367;1.11797;1.94801;1.86137;40.7478;16.3898	32.4525;79.1774;2.75624;4.0531;5.79901;79.5233;33.7993	1	19088	Prkar2b_30641,Prkar2b_56567	20.182,17.2973	9.32973,14.2339	36.2689,20.7402	Exp 3,1(0.1);Exp 4,2(0.2);Hill,3(0.3);Poly 2,1(0.1);Power,3(0.3)	5.306472231256702	75.9860190153122	1.5765221118927002	19.7794132232666	6.607320121864918	4.62185001373291	10.84617846771443	53.722579310063345	7.095816666484371	28.561953333515635	16.75938597718798	58.80825846725649	DOWN	0.1111111111111111	0.7777777777777778	0.1111111111111111	
1540	AMPA receptor activation	1	4	1	1	0	1	1	1	1	0	0	1079	4	7904	0.59947	1.0	1.0	0.0																														0	0	0															0															0																							
1541	G0 and early G1 pathway	22	25	18	18	9	18	17	17	18	9	9	1070	16	7892	0.99964	0.0017036	0.0017036	36.0	21973;211586;19650;18538;17865;12428;12534;12448;12530	top2a;tfdp2;rbl1;pcna;mybl2;ccna2;cdk1;ccne2;cdc25a	Top2a_79028;Tfdp2_75238;Rbl1_75918;Pcna_77579;Mybl2_30389;Ccna2_65309;Cdk1_76534;Ccne2_29384;Cdc25a_32088	211586(-0.5708);12428(-0.3764);12534(-0.2347);12530(0.1107)	7.138408888888888	2.99882	0.84858	11.497011857113618	4.578822946450504	8.021558413601552	4.906539222222222	1.86137	0.54447	9.133719136668695	2.8964191950380744	6.326067830134751	13.164034444444447	8.07849	1.56246	16.552205079457018	9.647868957995579	11.84357044212222	0.5	1.324435	1.5	1.9641549999999999	2.32948;4.66009;1.80029;0.84858;37.364;5.06707;2.99882;2.12802;7.04933	1.30123;2.78851;0.557123;0.54447;29.0444;2.2186;1.86137;1.34762;4.49553	5.35573;9.69696;8.07849;1.56246;55.796;14.8558;5.79901;4.01306;13.3188	1	8	1	17865	Mybl2_30389	37.364	37.364		29.0444	29.0444		55.796	55.796		37.364	29.0444	55.796	8	21973;211586;19650;18538;12428;12534;12448;12530	Top2a_79028;Tfdp2_75238;Rbl1_75918;Pcna_77579;Ccna2_65309;Cdk1_76534;Ccne2_29384;Cdc25a_32088	3.3602100000000004	2.6641500000000002	2.0586264620858246	1.8893066250000001	1.604495	1.3056327884033785	7.835038750000001	6.938750000000001	4.5846622545471805	2.32948;4.66009;1.80029;0.84858;5.06707;2.99882;2.12802;7.04933	1.30123;2.78851;0.557123;0.54447;2.2186;1.86137;1.34762;4.49553	5.35573;9.69696;8.07849;1.56246;14.8558;5.79901;4.01306;13.3188	0						Exp 2,2(0.23);Exp 4,7(0.78)	9.925009075144924	137.67779350280762	3.301088571548462	45.408634185791016	14.371931251405755	9.047653198242188	-0.37297219109200697	14.649789968869785	-1.060823947067993	10.873902391512438	2.349927125865861	23.978141763023036	DOWN	0.1111111111111111	0.8888888888888888	0.0	
1542	G1/S-specific transcription	16	17	12	12	5	11	11	11	11	5	5	1074	12	7896	0.98867	0.044513	0.044513	29.41	67141;12544;18538;12534;12530	fbxo5;cdc45;pcna;cdk1;cdc25a	Fbxo5_29404;Cdc45_31104;Pcna_77579;Cdk1_76534;Cdc25a_32088	12544(-0.2473);12534(-0.2347);12530(0.1107)	17.559052	2.99882	0.84858	32.424650453918076	14.023562677362088	28.92901249374902	10.283446600000001	1.86137	0.54447	18.78078215355135	8.26884383746466	16.747211725493386	20.509336	5.79901	1.56246	32.22576408615209	16.943428354263926	28.934928475873324	0.0	0.84858	0.5	1.172805	1.49703;75.4015;0.84858;2.99882;7.04933	0.754263;43.7616;0.54447;1.86137;4.49553	4.24091;77.6255;1.56246;5.79901;13.3188	0	5	0															5	67141;12544;18538;12534;12530	Fbxo5_29404;Cdc45_31104;Pcna_77579;Cdk1_76534;Cdc25a_32088	17.559052	2.99882	32.424650453918076	10.283446600000001	1.86137	18.78078215355135	20.509336	5.79901	32.22576408615209	1.49703;75.4015;0.84858;2.99882;7.04933	0.754263;43.7616;0.54447;1.86137;4.49553	4.24091;77.6255;1.56246;5.79901;13.3188	0						Exp 2,1(0.2);Exp 4,2(0.4);Hill,1(0.2);Power,1(0.2)	9.428442305128991	61.5742712020874	3.3115763664245605	22.73965835571289	8.786662786780813	11.327627182006836	-10.862407244159055	45.98051124415906	-6.1786347818546385	26.745527981854636	-7.737791656414924	48.75646365641492	DOWN	0.0	1.0	0.0	
